Key,Language,Search Engine,Publication Year,Author,Title,Journal,Pages,Issue,Volume,Notes from Screening,Screened by,Study Area Region,Study Area Continent,Studied Taxa - Kingdom,Studied Taxa - Phylum,Studied Taxa - Class,Studied Taxa - Order,Studied Taxa - Family,Studied Taxa - Genus,Study Taxa - Species,Species of Conservation Concern?,Non-Native Species?,Topic Notes (if other),Analyses Notes (if other),Data Type Notes (if other),iNaturalist Data Role,iNaturalist Projects,No tags because,Notes,Entered by,Assigned to,Study Area Country,Paper Topic,Analyses Conducted,iNaturalist Data Type
273UADEF,english,Web of Science,2021,"Mesaglio, Thomas; Soh, Aaron; Kurniawidjaja, Steven; Sexton, Chuck",`First Known Photographs of Living Specimens': the power of iNaturalist for recording rare tropical butterflies,Journal of Insect Conservation,905-911,6-May,25,NA,Jackson,California,Global,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,Yes,No,NA,NA,NA,Main Data Source,Yes,NA,NA,Simon,Simon,United States,"Species Distribution/Range, Data Quality/Comparison, Species Discovery","Descriptive, Species Distribution",Observation Data
28CU9BSV,english,Google Scholar,2020,"GIAMBATISTA, BELLO; Arion, Via Colombo; Kotor, Montenegro; MARIA, CORSINI-FOKA",Mediterranean Marine Science,Mediterranean Marine Science,340-359,2,21,NA,Brittany,"Altai Territory, Republic of Altai",Europe,"Plantae, Animalia, Fungi",NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,Minor Data Source,No,NA,NA,Brittany,Colleen,Siberia,Species Distribution/Range,Descriptive,Observation Data
2988L6JK,english,Google Scholar,2023,"Rochlin, Ilia; Egizi, Andrea; Ginsberg, Howard S","Modeling of historical and current distributions of lone star tick, Amblyomma americanum (Acari: Ixodidae), is consistent with ancestral range recovery",Experimental and Applied Acarology,85–103,1,89,NA,Brittany,NA,North America,Animalia,Arthropoda,Arachnida,Ixodida,Ixodidae,Amblyomma,americanum,No,No,NA,Machine learning,NA,Minor Data Source,No,NA,"They wanted to know if range shifts of this tick are related to climate change or reoccupying historic ranges. They found it is due to the later, but climate change still plays a role in this paper in my opinion",Brittany,Brittany,United States of America,"Species Distribution/Range, Climate Change/Environmental Impact","Species Distribution, Other",Observation Data
29J5M2X2,english,Google Scholar,2022,"Xu, Chunpeng; Wang, Bo; Fan, Li; Jarzembowski, Edmund A; Fang, Yan; Wang, He; Li, Ting; Zhuo, De; Ding, Ming; Engel, Michael S",Widespread mimicry and camouflage among mid-Cretaceous insects,Gondwana Research,94–102,4,101,NA,Brittany,NA,Asia,Animalia,Arthropoda,Insecta,"Lepidoptera, Orthoptera","Notodontidae, Nymphalidae, Tettigoniidae","Uropyia, Doleschallia, Typophyllum",philippensis,No,No,NA,NA,NA,Major Data Source,No,NA,NA,Shawan,Shawan,India,Biology/Behavior,Descriptive,"Observation Data, Imagery"
29LUE4V6,english,Google Scholar,2021,"Alqahtani, Aldanah A; Jansen, Robert K",The evolutionary fate of rpl32 and rps16 losses in the Euphorbia schimperi (Euphorbiaceae) plastome,Scientific reports,1–12,1,11,NA,Shawn,NA,"Africa, Asia",Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,schimperi,No,No,NA,NA,NA,Minor Data Source,No,NA,NA,Thomas,Thomas,NA,Biology/Behavior,Descriptive,Imagery
2A89LD2P,english,Google Scholar,2022,"Amaral, André; Soares, Matheus Mickael Mota","New records of Thambemyia fusariae Capellari, 2015 (Dolichopodidae, Hydrophorinae) from Brazil",EntomoBrasilis,e1022–e1022,1,15,NA,Brittany,NA,South America,Animalia,Arthropoda,Insecta,Diptera,Dolichopodidae,Thambemyia,NA,No,No,NA,NA,annotations,Minor Data Source,No,NA,Looks like a species not in iNat taxonomy. Thambemyia fusariae,Corey,Corey,Brazil,Species Distribution/Range,Descriptive,Observation Data
2AD94XJT,english,Google Scholar,2022,"Costa, Marcones Ferreira; Francisconi, Ana Flávia; Vancine, Maurício Humberto; Zucchi, Maria Imaculada",Climate change impacts on the Copernicia alba and Copernicia prunifera (Arecaceae) distribution in South America,Brazilian Journal of Botany,807–818,2,45,NA,Brittany,Northern Italy,South America,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Copernicia,"alba, prunifera",No,No,NA,NA,NA,Minor Data Source,No,NA,NA,Corey,Corey,Italy,"Species Distribution/Range, Climate Change/Environmental Impact",Species Distribution,Observation Data
2BUPT7UM,english,Google Scholar,2021,"Meeds, AW; Eger Jr, Joseph E; Carnahan, SD","First record of Orsilochides scurrilis (StÃ¥l)(Hemiptera: Heteroptera: Scutelleridae: Pachycorinae) in the United States, with notes on the biology and distribution of US species of Orsilochides Kirkaldy",Insect Mundi,165�185,2,1378,NA,Jackson,NA,North America,Animalia,Arthropoda,Insecta,Hemiptera,Scutelleridae,Orsilochides,communa,No,Yes,NA,NA,NA,Minor Data Source,No,NA,"iNaturalist makes up a majority of table 2 data which was used in analysis, so I consider iNaturalist as a major data source in this paper",Thomas,Thomas,United States of America,"Species Distribution/Range, Biology/Behavior",Descriptive,Observation Data
2CB5J6Y4,english,Google Scholar,2019,"Sweet, Lynn C; Green, Tyler; Heintz, James GC; Frakes, Neil; Graver, Nicolas; Rangitsch, Jeff S; Rodgers, Jane E; Heacox, Scott; Barrows, Cameron W",Congruence between future distribution models and empirical data for an iconic species at Joshua Tree National Park,Ecosphere,e02763,6,10,NA,Corey,California,North America,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Yucca,brevifolia,Yes,No,"Machine learning, species identification system",NA,NA,Minor Data Source,No,NA,NA,Baasanmunkh,Munkh,United States of America,"Climate Change/Environmental Impact, Species Distribution/Range",Species Distribution,Observation Data
2CS45VHG,spanish,Google Scholar,2023,"Cazares, Efraín Payan; Duarte, Edgar Alberto Gamez; González, José David Jacobo; Bastidas, Héctor Alexis Castro",Phrynosoma orbiculare (SQUAMATA: PHRYNOSOMATIDAE),Revista Latinoamericana de Herpetología,e710–162,2,6,NA,Flo,Sinaloa,North America,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Phrynosoma,orbiculare,No,No,NA,NA,NA,Minor Data Source,No,NA,NA,Flo,Flo,Mexico,"Species Distribution/Range, Data Quality/Comparison",Descriptive,Observation Data
2CXC82GY,english,Google Scholar,2022,"Nottingham, Catherine M; Buckley, Hannah L; Case, Bradley S; Glen, Alistair S; Stanley, Margaret C",Factors affecting home range size of feral cats,New Zealand Journal of Ecology,1–10,2,46,NA,Brittany,NA,Europe,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Podarcis,muralis,No,No,NA,NA,NA,Minor Data Source,No,NA,"Study is on cats, but they used inaturalist to get a species list of animals within a cat's home range",Brittany,Brittany,NA,Species Distribution/Range,Descriptive,Observation Data
2D7RU576,spanish,Google Scholar,2022,"Marín, Byron C Guzmán; Hernández-Hernández, Julio C; de Aguilera, Natividad S Olmos; Peña, Patricio A Muñoz; Kaiser, Melanie","Felino pequeÃ±o, ciudad grande: Leopardus Colocola (Carnivora: Felidae) en la RegiÃ³n Metropolitana de Santiago de Chile y amenazas para su conservaciÃ³n",Boletín Museo Nacional de Historia Natural,13–21,1,71,NA,Flo,Santiago de Chile,South America,Animalia,Chordata,Mammalia,Carnivora,Felidae,Leopardus,colocola,Yes,No,NA,NA,NA,Minor Data Source,No,NA,"I tagged 'Species of conservation concern: yes' because a recent taxonomic revision of the pampas cat Leopardus colocola complex, split the species into 6 and determined this is a cricially endangered one; Brittany: I agree with this assessment",Flo,Flo,Chile,Species Distribution/Range,Species Distribution,Observation Data
2DAUYJT5,english,Google Scholar,2023,"Arteaga, Alejandro; Batista, Abel","A consolidated phylogeny of snail-eating snakes (Serpentes, Dipsadini), with the description of five new species from Colombia, Ecuador, and Panama",ZooKeys,1,NA,1143,NA,Brittany,NA,"South America, North America",Animalia,Chordata,Reptilia,Squamata,Colubridae,NA,NA,No,No,NA,NA,NA,Minor Data Source,No,NA,NA,Jackson,Jackson,"Colombia, Ecuador, Panama",Species Distribution/Range,Descriptive,Observation Data
2DSFHG3U,english,Google Scholar,2022,"Wolf, Sophie; Mahecha, Miguel D; Sabatini, Francesco Maria; Wirth, Christian; Bruelheide, Helge; Kattge, Jens; Moreno Martínez, Álvaro; Mora, Karin; Kattenborn, Teja",Citizen science plant observations encode global trait patterns,Nature Ecology & Evolution,1–10,NA,NA,NA,Brittany,Lesser Antilles,Global,Plantae,Tracheophyta,Reptilia,Squamata,Agamidae,Agama,picticauda,No,No,data integration,NA,NA,Major Data Source,No,NA,Determined if they could combine iNaturalist data with species trait data to understand distribution of species traits,Brittany,Brittany,NA,"Species Distribution/Range, Other",Species Distribution,"Observation Data, Identification Data"
2ECK9TE7,english,Google Scholar,2021,"Pranty, Bill; Ponzo, Valeri","Record of a red-rumped agouti (Dasyprocta leporina) in Miami-Dade county, Florida",Florida Field Naturalist,11–12,1,49,"edge case, please check - will keep as yes for now",Thomas,NA,Global,Animalia,Cnidaria,Scyphozoa,Rhizostomeae,NA,NA,NA,No,No,NA,NA,NA,Main Data Source,No,NA,"They do use other biodiversity datasets, but only to evaluate the data of iNaturalist, so I consider iNaturalist the main data source",Brittany,Marina,NA,"Data Quality/Comparison,
Species Distribution/Range","Species Distribution,
Descriptive",Observation Data
2F26XYZI,english,Google Scholar,2020,"Pearman-Gillman, Schuyler B; Katz, Jonathan E; Mickey, Ruth M; Murdoch, James D; Donovan, Therese M",Predicting wildlife distribution patterns in New England USA with expert elicitation techniques,Global Ecology and Conservation,e00853,4,21,NA,Brittany,New England,North America,Animalia,Chordata,"Mammalia, Aves","Carnivora, Artiodactyla, Galliformes",Alcidae,Alca,torda,No,No,Used to validate predictive distribution models,NA,NA,Major Data Source,No,NA,Light data comparision where they compared the number of records from different data sources to discuss the importance of incorporating data from different media outlets,Marina,Marina,United States of America,Other,Species Distribution,Observation Data
2FN82HNQ,english,Google Scholar,2023,"Gaskin, John F; Whippo, Craig W",Noteworthy Collections,Madroño,302–302,4,69,NA,Brittany,NA,North America,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Noccaea,perfoliata,No,Yes,NA,NA,annotations,Main Data Source,No,NA,"They do not say how they determined roadkill primates from iNaturalist, but I assume it is from observation annotations since the authors do not say they went through imagery",Brittany,Brittany,United States of America,Species Distribution/Range,Descriptive,Observation Data
2HHNFCGE,english,Google Scholar,2022,"Baasanmunkh, Shukherdorj; Batlai, Oyuntsetseg; Tsegmed, Zagarjav; Magsar, Urgamal; Khurelpurev, Oyundelger; Nyamjantsan, Nyambayar; Nudkhuu, Nyamgerel; Erst, Andrey; Altangerel, Undruul; Choi, Hyeok Jae",Distribution of vascular plants in MongoliaâII part,Mongolian Journal of Biological Sciences,35–63,2,20,NA,Brittany,NA,Asia,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Arthromacra,NA,No,No,NA,NA,NA,Minor Data Source,No,NA,"The species and location pertains to the iNaturalist data used, not the entire scope of the article",Brittany,Mark,China,"Biology/Behavior,
Species Distribution/Range",Species Distribution,Observation Data
2HT6KQVP,spanish,Google Scholar,2018,"Miralles-Núñez, Adrià; Otero, Martiño Cabana; Arriada, Mikel Tapia","Primera cita y confirmaciÃ³n de la reproducciÃ³n de Cordulegaster bidentata Selys, 1843 (Odonata: Cordulegastridae) en la Comunidad Foral de Navarra (EspaÃ±a)",Boletín de la Sociedad Entomológica Aragonesa,287–289,NA,62,NA,Flo,Navarra,Europe,Animalia,Arthropoda,Insecta,Odonata,Cordulegastridae,Cordulegaster,bidentata,Yes,No,NA,NA,NA,Minor Data Source,No,NA,NA,Flo,Flo,Spain,Species Distribution/Range,Species Distribution,Observation Data
2I94Q7ZG,spanish,Google Scholar,2019,"Gómez-Cardona, Juan P; Gómez-Cabal, Clemencia",AraÃ±as de importancia clÃ­nica-epidemiolÃ³gica en Colombia,Biosalud,108–129,1,18,NA,Flo,NA,South America,Animalia,Arthropoda,Arachnida,"Ericales, Geraniales","Polemoniaceae, Geraniaceae","Geranium, Linanthus","maculatum, parryae",No,No,visual classification,NA,NA,Major Data Source,No,NA,NA,Flo,Flo,Colombia,Species Distribution/Range,Descriptive,Observation Data
2ITQW2PL,english,Google Scholar,2018,"ATHA, DANIEL; Wijesinghe, P; Lazzeri, VALERIO",First report of Stellaria pallida (Caryophyllaceae) for New York State,Phytoneuron,1–8,1,64,NA,Thomas,New York,North America,Plantae,Arthropoda,Insecta,Caryophyllales,Caryophyllaceae,Stellaria,apetala,No,No,NA,NA,NA,Major Data Source,No,NA,NA,Levi,Levi,United States of America,Species Distribution/Range,Descriptive,Observation Data
2IYGXHS9,english,Google Scholar,2021,"Clark, Kevin; Tremor, Scott; Gibson, Brian; Ferree, Kimberly; Winchell, Clark",San Bernardino flying squirrel use of residential areas: a citizen science approach,Western North American Naturalist,201–206,2,81,Brittany accessed and found this relevant,Shawn,California,North America,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Glaucomys,oregonensis,Yes,No,observer behavior,regression model,NA,Main Data Source,Yes,NA,Ticked yes for conservation concern - listed in California (the ssp). Brittany: Agree with this determintation,Simon,Simon,United States of America,Species Distribution/Range,"Descriptive, Species Distribution, Image Analysis","Observation Data, Imagery"
2JDYUAHK,english,Google Scholar,2021,"Cota-Durán, Andres; Petatán-Ramírez, David; Ojeda-Ruiz, Miguel Ángel; Marín-Monroy, Elvia Aida",Potential Impacts of Climate Change on Shrimps Distribution of Commercial Importance in the Gulf of California,Applied Sciences,5506,12,11,NA,Sam,NA,Europe,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,No,No,NA,NA,NA,Minor Data Source,No,NA,NA,Brittany,Levi,NA,Biology/Behavior,Image Analysis,Imagery
2KFIR7V9,english,Google Scholar,2020,"Barve, Vijay V; Brenskelle, Laura; Li, Daijiang; Stucky, Brian J; Barve, Narayani V; Hantak, Maggie M; McLean, Bryan S; Paluh, Daniel J; Oswald, Jessica A; Belitz, Michael W; others",Methods for broad-scale plant phenology assessments using citizen scientistsâ photographs,Applications in Plant Sciences,e11315,1,8,NA,Shawn,NA,North America,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Yucca,phaseolina,No,No,NA,NA,NA,Main Data Source,No,NA,NA,Thomas,Thomas,United States of America,Biology/Behavior,Image Analysis,"Imagery, Observation Data"
2KFQRUVQ,english,Google Scholar,2019,"van der Heyden, Torsten",First record of Microtomus luctuosus (StÃ¥l)(Heteroptera: Reduviidae: Hammacerinae) in Honduras,Revista Chilena de Entomología,NA,2,45,NA,Corey,Ontario,North America,Animalia,Arthropoda,Insecta,Hemiptera,Reduviidae,Microtomus,luctuosus,No,No,NA,NA,NA,Main Data Source,No,NA,Only 2% of data from iNat,Baasanmunkh,Munkh,Honduras,Species Distribution/Range,"Descriptive, Species Distribution",Observation Data
2KJ35U6F,spanish,Google Scholar,2023,"Echeverría, María L; Alonso, Sara I; Comparatore, Viviana M",VegetaciÃ³n de un pastizal serrano de la Reserva Natural Paittti (Bioma Pampa) y detecciÃ³n temprana de especies no nativas actuando como invasoras,Boletín de la Sociedad Argentina de Botánica,41–50,1,58,In doubt: they used iNat to corroborate the absence of a species. Brittany: keep for now,Flo,Buenos Aires,South America,Plantae,Tracheophyta,Aves,Galliformes,Phasianidae,Pternistis,"afer, rufopictus",No,No,They used iNat to corroborate the absence of a species,NA,NA,Minor Data Source,No,NA,"I tagged 'non-native species: no' because the species they retrieve data for is not. However, the paper studies non-native species",Flo,Flo,Argentina,Species Distribution/Range,Descriptive,Observation Data
2LNR7UJ2,english,Google Scholar,2023,"Fateryga, Valentina V; Svirin, Sergey A; Fateryga, Alexander V",ON THE PRESENCE OF CEPHALANTHERA CAUCASICA (ORCHIDACEAE) IN RUSSIA: REDISCOVERY OF A THREATENED ORCHID IN THE REPUBLIC OF DAGESTAN,Nature Conservation Research,44-51,2,8,NA,Brittany,Republic of Dagestan,Europe,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cephalanthera,caucasica,Yes,No,NA,NA,NA,Minor Data Source,No,NA,Only 1 iNaturalist observation included in the study,Brittany,Brittany,Russia,Species Distribution/Range,Descriptive,Observation Data
2NHD7WT6,english,Google Scholar,2022,"Kirsch, Alex; Kaproth, Matthew A",Defining plant ecological specialists and generalists: Building a framework for identification and classification,Ecology and Evolution,e9527,11,12,NA,Brittany,South Sumatra,Asia,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagales,Quercus,NA,No,No,NA,NA,NA,Minor Data Source,No,NA,"They do not say how much data they used from iNaturalist. The platfrom has over 1,000 observations and 100 species from the study region, so I assume it was a significant data source but cannot be sure",Corey,Corey,Indonesia,Biology/Behavior,Image Analysis,Imagery
2P6FUC6A,english,Google Scholar,2020,"Jones, Hamlyn",Artificial Intelligence for plant identification on smartphones and tablets,BSBI News,34–40,1,144,compares the use of seek to other plant id apps,Colleen,NA,Europe,Animalia,Chordata,"Reptilia, Amphibia",NA,NA,NA,NA,No,No,data integration,network analysis,NA,Could Not Determine,No,NA,Comparing iNaturalist platform to other data platforms that contain reptile and amphibian data,Baasanmunkh,Munkh,United Kingdom,Data Quality/Comparison,Image Analysis,None or Could Not Determine
2PGC5I2L,english,Google Scholar,2018,"Calixto-Pérez, Edith; Alarcón-Guerrero, Jesús; Ramos-Fernández, Gabriel; Dias, Pedro Américo D; Rangel-Negrín, Ariadna; Améndola-Pimenta, Monica; Domingo, Cristina; Arroyo-Rodríguez, Víctor; Pozo-Montuy, Gilberto; Pinacho-Guendulain, Braulio; others",Integrating expert knowledge and ecological niche models to estimate Mexican primatesâ distribution,Primates,451–467,NA,59,NA,Thomas,NA,North America,Animalia,Chordata,Mammalia,Primates,Apidae,Bombus,bimaculatus,Yes,No,NA,NA,NA,Minor Data Source,No,NA,NA,Levi,Levi,Mexico,Species Distribution/Range,Species Distribution,Observation Data
2PSMMFL3,english,Google Scholar,2023,"Roman Miiller, Natali Oliva; de Carvalho, Barbara Maichak; Camargo Figueiredo, Marcus Vinicius; Aguilar-Perera, Alfonso; Vitule, Jean Ricardo Simões","Distribution Range of Toadfishes Opsanus Rafinesque, 1818 (Batrachoididae) in the Western Atlantic, with Emphasis in the Introduction of O. beta in Brazil",Thalassas: An International Journal of Marine Sciences,1–6,NA,13,NA,Brittany,southern Africa,"North America, South America",Animalia,Chordata,Actinopterygii,Batrachoidiformes,Batrachoididae,Opsanus,"caudatus, garrulus",No,Yes,NA,NA,NA,Minor Data Source,No,NA,NA,Sam,Sam,NA,Species Distribution/Range,Species Distribution,Observation Data
2Q4DLSSM,english,Google Scholar,2016,"Porteri, Incilius",Hyla chrysoscelis (Copeâs Gray Treefrog). USA: TEXAS: ME,Herpetological Review,1,NA,47,"very edge case, please check - agreed",Thomas,Texas,North America,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,chrysoscelis,Yes,No,NA,NA,NA,Minor Data Source,No,NA,NA,Baasanmunkh,Munkh,United States of America,Species Distribution/Range,Species Distribution,Observation Data
2QH6KWL3,english,Google Scholar,2021,"Barahona-Segovia, Rodrigo M; Montenegro, Rubén; González, Rodrigo",Environmental variables and distribution data support the preliminary conservation status of a trapdoor spider in a transformed coastal ecosystem,Journal for Nature Conservation,125985,2,61,NA,Jackson,Coquimbo region,South America,Animalia,Arthropoda,Arachnida,Araneae,Actinopodidae,Plesiolena,bonneti,Yes,No,NA,NA,NA,Minor Data Source,No,NA,"iNaturalist observation sparked the study, but did not end up being the main data source",Simon,Simon,Chile,"Species Distribution/Range, Climate Change/Environmental Impact, Data Quality/Comparison, Biology/Behavior","Species Distribution, Descriptive",Observation Data
2QLHD7XL,spanish,Google Scholar,2023,"Velarde-Simonini, Luis F; Fuentes, Alfredo F; Quino-Soliz, Jhonatan","La achacana (Neowerdermannia vorwerkii, Cactaceae) nuevo registro para el Valle de La Paz",Ecología en Bolivia,29–36,1,58,NA,Flo,Valle de La Paz,South America,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Neowerdermannia,vorwerkii,No,No,NA,NA,NA,Minor Data Source,No,NA,NA,Flo,Flo,Bolivia,Species Distribution/Range,Descriptive,Observation Data
2RKRUJQA,english,Google Scholar,2022,"León-Osper, Melissa; Narbona, Eduardo",Unravelling the mystery of red flowers in the Mediterranean Basin: How to be conspicuous in a place dominated by hymenopteran pollinators,Functional Ecology,2774–2790,11,36,NA,Brittany,Mediterranean Basin,North America,Plantae,Arthropoda,Insecta,Coleoptera,Carabidae,Carabus,granulatus,No,No,NA,NA,NA,Minor Data Source,No,NA,I think iNat is a major data source because it is the only source that reports the species in Vermont,Shawan,Shawan,United States,Biology/Behavior,Descriptive,"Observation Data, Imagery"
2S9E73Q6,english,Google Scholar,2021,"Freeman, Scott L; Pfingsten, IA",First record of Najas marina (Hydrocharitaceae) for Montana and an update on the North American distribution,Phytoneuron,1–7,NA,51,NA,Shawn,Montana,North America,Plantae,Tracheophyta,Liliopsida,Alismatales,Hydrocharitaceae,Najas,marina,No,Yes,NA,NA,NA,Minor Data Source,No,NA,NA,Thomas,Thomas,United States of America,Species Distribution/Range,Species Distribution,Observation Data
